Address,Baths,Price,Rooms,Surface,Title
Torrejón De Ardoz,1 baño,165.000 €,1 dorm.,99 m,Piso en venta en Torrejón De Ardoz
Orcasitas - San Fermin- Madrid,1 baño,170.000 €,2 dorm.,83 m,Piso en venta en Usera
San Diego- Madrid,1 baño,108.000 €,1 dorm.,47 m,Piso en venta en Puente De Vallecas
San Diego- Madrid,1 baño,105.000 €,3 dorm.,60 m,Piso en venta en Puente De Vallecas
Las Rozas De Madrid,2 baños,330.000 €,3 dorm.,125 m,Piso en venta en Las Rozas De Madrid
Marque De Vadillo - Comillas- Madrid,1 baño,145.000 €,3 dorm.,60 m,Piso en venta en Carabanchel
Torrejón De Ardoz,1 baño,160.000 €,3 dorm.,89 m,Piso en venta en Torrejón De Ardoz
Carabanchel Alto - Buena Vista- Madrid,1 baño,155.000 €,3 dorm.,80 m,Piso en venta en Carabanchel
Arganda Del Rey,3 baños,257.500 €,4 dorm.,150 m,Piso en venta en Arganda Del Rey
Universidad- Getafe,1 baño,113.500 €,3 dorm.,65 m,Piso en venta en Universidad - Margaritas - Kelvinator
Universidad- Getafe,1 baño,111.000 €,3 dorm.,65 m,Piso en venta en Universidad - Margaritas - Kelvinator
Escritores- Leganés,1 baño,124.000 €,3 dorm.,62 m,Piso en venta en Centro - Escritores
Móstoles,1 baño,165.000 €,3 dorm.,78 m,Piso en venta en Centro - Hospital
Chamberí- Madrid,3 baños,830.000 €,4 dorm.,151 m,Piso en venta en C. de Raimundo Fernández Villaverde
Vicálvaro- Madrid,2 baños,157.500 €,3 dorm.,97 m,Piso en venta en C. de Villablanca
Vicálvaro- Madrid,1 baño,122.000 €,3 dorm.,59 m,Piso en venta en C. de Villajimena
Vicálvaro- Madrid,1 baño,139.000 €,2 dorm.,65 m,Piso en venta en C. Villalcampo
Soto- Móstoles,1 baño,153.000 €,3 dorm.,82 m,Piso en venta en Soto
San Sebastián De Los Reyes,1 baño,155.000 €,3 dorm.,94 m,Piso en venta en San Sebastián De Los Reyes
Palomeras - Portazgo- Madrid,2 baños,165.000 €,3 dorm.,117 m,Piso en venta en Puente De Vallecas
Simancas- Madrid,1 baño,214.999 €,3 dorm.,67 m,Piso en venta en San Blas
Centro- Leganés,2 baños,269.000 €,3 dorm.,100 m,Piso en venta en Centro - Escritores
Ciudad Lineal- Concepción- Madrid,1 baño,259.000 €,3 dorm.,92 m,Piso en venta en Virgen de la Fuencisla
Hortaleza- Pinar Del Rey- Madrid,3 baños,865.000 €,4 dorm.,200 m,Piso en venta en Maria de las Mercedes Borbón
Chamberí- Madrid,1 baño,499.000 €,3 dorm.,101 m,Piso en venta en C. de Isaac Peral
Chamberí- Madrid,1 baño,189.000 €,1 dorm.,43 m,Piso en venta en C. de María de Guzmán
Lavapiés - Embajadores- Madrid,1 baño,369.900 €,2 dorm.,85 m,Piso en venta en Centro
Villafontana Ii- Móstoles,2 baños,187.000 €,4 dorm.,98 m,Piso en venta en Villafontana Ii - Libertad
Galapagar,1 baño,111.000 €,4 dorm.,65 m,Piso en venta en Galapagar
Pinar De Chamartin - Costillares- Madrid,3 baños,650.000 €,4 dorm.,150 m,Piso en venta en Chamartín
Tetuán- Cuzco - Castillejos- Madrid,1 baño,350.000 €,3 dorm.,97 m,Piso en venta en Calle Pensamiento
Pueblo Nuevo- Madrid,2 baños,147.000 €,2 dorm.,82 m,Local comercial en venta en Ciudad Lineal
Tetuán- Cuzco - Castillejos- Madrid,1 baño,350.000 €,3 dorm.,85 m,Piso en venta en Calle de Lazaga
Tetuán- Cuzco - Castillejos- Madrid,2 baños,199.000 €,3 dorm.,80 m,Piso en venta en Calle del Marqués de Leis
Quintana- Madrid,1 baño,260.000 €,4 dorm.,100 m,Piso en venta en Ciudad Lineal
Torrejón De Ardoz,1 baño,160.000 €,1 dorm.,60 m,Piso en venta en Torrejón De Ardoz
Quintana- Madrid,1 baño,140.000 €,2 dorm.,59 m,Piso en venta en Ciudad Lineal
Universidad- Getafe,1 baño,105.000 €,2 dorm.,54 m,Piso en venta en Universidad - Margaritas - Kelvinator
Valdemoro,2 baños,189.000 €,3 dorm.,100 m,Piso en venta en Valdemoro
Venecia- Alcalá De Henares,1 baño,189.000 €,3 dorm.,96 m,Piso en venta en Reyes Catolicos - Rinconada - Venecia
Brunete,1 baño,140.000 €,3 dorm.,85 m,Piso en venta en Brunete
Aluche- Madrid,1 baño,190.000 €,4 dorm.,90 m,Piso en venta en Latina
Majadahonda,2 baños,315.000 €,4 dorm.,151 m,Piso en venta en Majadahonda
El Bercial- Getafe,1 baño,139.000 €,3 dorm.,72 m,Piso en venta en Getafe Norte - El Bercial - Los Molinos
El Bercial- Getafe,2 baños,290.000 €,3 dorm.,101 m,Piso en venta en Getafe Norte - El Bercial - Los Molinos
Arroyo Del Fresno- Madrid,1 baño,385.000 €,3 dorm.,85 m,Piso en venta en Fuencarral
Mejorada Del Campo,1 baño,127.000 €,2 dorm.,70 m,Piso en venta en Mejorada Del Campo
Arroyo Del Fresno- Madrid,1 baño,370.000 €,3 dorm.,139 m,Casa en venta en Fuencarral
Mejorada Del Campo,1 baño,259.000 €,4 dorm.,155 m,Local comercial en venta en Mejorada Del Campo
Fuenlabrada,1 baño,115.000 €,3 dorm.,71 m,Piso en venta en Centro
Lucero- Madrid,2 baños,239.000 €,3 dorm.,97 m,Piso en venta en Latina
Concepción- Madrid,3 baños,295.000 €,3 dorm.,120 m,Piso en venta en Ciudad Lineal
Lavapiés - Embajadores- Madrid,1 baño,235.000 €,2 dorm.,65 m,Piso en venta en Centro
Concepción- Madrid,3 baños,290.000 €,3 dorm.,120 m,Piso en venta en Ciudad Lineal
Peñagrande- Madrid,2 baños,450.000 €,5 dorm.,129 m,Piso en venta en Fuencarral
Ciudad Lineal- Concepción- Madrid,1 baño,250.000 €,3 dorm.,73 m,Piso en venta en Virgen del Coro
Ciudad Lineal- Concepción- Madrid,1 baño,270.000 €,3 dorm.,92 m,Piso en venta en Virgen de Nuria
Meco,1 baño,126.000 €,3 dorm.,131 m,Piso en venta en Meco
Pueblo Nuevo- Madrid,1 baño,157.000 €,2 dorm.,62 m,Piso en venta en Ciudad Lineal
Collado Villalba,1 baño,242.000 €,4 dorm.,130 m,Piso en venta en Collado Villalba
Rosas- Madrid,2 baños,399.999 €,3 dorm.,115 m,Piso en venta en San Blas
San Sebastián De Los Reyes,1 baño,259.000 €,3 dorm.,89 m,Piso en venta en San Sebastián De Los Reyes
Zarzaquemada- Leganés,1 baño,180.000 €,3 dorm.,80 m,Piso en venta en Zarzaquemada - Carrascal
Palomeras - Portazgo- Madrid,1 baño,121.900 €,2 dorm.,50 m,Piso en venta en Puente De Vallecas
Salamanca- Guindalera- Madrid,1 baño,435.000 €,1 dorm.,63 m,Ático en venta en Calle de Alcalá
Marque De Vadillo - Comillas- Madrid,2 baños,179.000 €,1 dorm.,72 m,Piso en venta en Carabanchel
Hortaleza- Pinar Del Rey- Madrid,3 baños,965.000 €,4 dorm.,293 m,Piso en venta en Calle fina calderon
Torrejón De Ardoz,1 baño,179.000 €,2 dorm.,84 m,Piso en venta en Torrejón De Ardoz
Simancas- Madrid,1 baño,179.900 €,3 dorm.,91 m,Piso en venta en San Blas
Reyes Catolicos- Alcalá De Henares,1 baño,198.500 €,2 dorm.,70 m,Piso en venta en Reyes Catolicos - Rinconada - Venecia
Lavapiés - Embajadores- Madrid,1 baño,339.000 €,3 dorm.,86 m,Piso en venta en Centro
Reyes Catolicos- Alcalá De Henares,1 baño,109.900 €,3 dorm.,75 m,Piso en venta en Reyes Catolicos - Rinconada - Venecia
Reyes Catolicos- Alcalá De Henares,1 baño,189.850 €,3 dorm.,86 m,Piso en venta en Reyes Catolicos - Rinconada - Venecia
Lavapiés - Embajadores- Madrid,1 baño,329.000 €,1 dorm.,61 m,Piso en venta en Centro
San Fernando De Henares,3 baños,449.000 €,4 dorm.,188 m,Casa en venta en San Fernando De Henares
Palomeras - Portazgo- Madrid,1 baño,89.900 €,3 dorm.,56 m,Piso en venta en Puente De Vallecas
Canillas- Madrid,1 baño,210.000 €,2 dorm.,75 m,Piso en venta en Hortaleza
Madrid,3 baños,770.000 €,6 dorm.,161 m,Piso en venta en Chamberí
Móstoles,1 baño,158.000 €,3 dorm.,90 m,Piso en venta en Centro - Hospital
Fuenlabrada,1 baño,137.000 €,3 dorm.,95 m,Piso en venta en Centro
Venecia- Alcalá De Henares,1 baño,164.900 €,3 dorm.,78 m,Piso en venta en Reyes Catolicos - Rinconada - Venecia
Majadahonda,1 baño,179.000 €,1 dorm.,46 m,Piso en venta en Majadahonda
Ensanche- Alcalá De Henares,3 baños,375.000 €,4 dorm.,193 m,Casa en venta en Chorrillo - Estación - Ensanche
Aluche- Madrid,2 baños,199.000 €,4 dorm.,101 m,Piso en venta en Latina
Parla,1 baño,107.500 €,3 dorm.,71 m,Piso en venta en Parla
Móstoles,2 baños,255.000 €,3 dorm.,114 m,Piso en venta en Centro - Hospital
Orcasitas - San Fermin- Madrid,2 baños,185.000 €,2 dorm.,75 m,Piso en venta en Usera
Universidad- Getafe,1 baño,122.000 €,2 dorm.,50 m,Piso en venta en Universidad - Margaritas - Kelvinator
Pueblo Nuevo- Madrid,1 baño,169.000 €,2 dorm.,69 m,Piso en venta en Ciudad Lineal
Aranjuez,3 baños,240.000 €,4 dorm.,187 m,Casa en venta en Aranjuez
Aranjuez,1 baño,95.260 €,2 dorm.,51 m,Piso en venta en Aranjuez
Aranjuez,1 baño,100.000 €,3 dorm.,103 m,Piso en venta en Aranjuez
Vista Alegre- Madrid,1 baño,115.000 €,2 dorm.,62 m,Piso en venta en Carabanchel
Fuencarral - Tres Olivos - Virgen De Begoña- Madrid,1 baño,179.000 €,3 dorm.,62 m,Piso en venta en Fuencarral
Palomeras - Portazgo- Madrid,1 baño,154.900 €,3 dorm.,100 m,Piso en venta en Puente De Vallecas
Aranjuez,2 baños,250.000 €,3 dorm.,139 m,Piso en venta en Aranjuez
Palomeras - Portazgo- Madrid,1 baño,114.900 €,3 dorm.,63 m,Piso en venta en Puente De Vallecas
Ensanche- Alcalá De Henares,3 baños,365.000 €,3 dorm.,151 m,Casa en venta en Chorrillo - Estación - Ensanche
Ensanche- Alcalá De Henares,2 baños,445.000 €,4 dorm.,293 m,Casa en venta en Chorrillo - Estación - Ensanche
Móstoles,1 baño,140.000 €,3 dorm.,82 m,Piso en venta en Centro - Hospital
Móstoles,1 baño,165.000 €,3 dorm.,84 m,Piso en venta en Centro - Hospital
Madrid,3 baños,890.000 €,5 dorm.,176 m,Piso en venta en Retiro
Ciudad Jardín- Madrid,2 baños,389.000 €,3 dorm.,99 m,Piso en venta en Chamartín
Madrid,2 baños,699.000 €,4 dorm.,118 m,Piso en venta en Chamberí
Pozuelo De Alarcón,1 baño,275.000 €,4 dorm.,102 m,Piso en venta en Calle de las Flores
Getafe Centro- Getafe,1 baño,149.900 €,3 dorm.,107 m,Piso en venta en Getafe Centro - San Isidro -  La Alhondiga
Simancas- Madrid,1 baño,159.999 €,2 dorm.,70 m,Piso en venta en San Blas
Móstoles,2 baños,275.000 €,4 dorm.,103 m,Piso en venta en Centro - Hospital
Torrejón De Ardoz,1 baño,189.900 €,2 dorm.,105 m,Piso en venta en Torrejón De Ardoz
Latina- Puerta Del Ángel- Madrid,1 baño,215.000 €,4 dorm.,92 m,Piso en venta en P.º de los Jesuitas
